122,Amir Miftakhov,G,Bars Kazan VHL
123,Jan Bednar,G,Karlovy Vary Czech
124,Calle Clang,G,Rogle J20
125,Wyatt Kaiser,D,Andover U.S. High School
126,Ian Moore,D,St. Mark's U.S. High School
127,Luke Reid,D,Chicago USHL
128,Colby Ambrosio,C,Tri-City USHL
129,Carson Bantle,LW,Madison USHL
130,Trevor Kuntar,C,Youngstown USHL
131,Gunnarwolfe Fontaine,F,Chicago USHL
132,Mathieu De St. Phalle,F,Chicago USHL
133,Nikolai Mayorov,LW,Cedar Rapids USHL
134,Maxim Groshev,RW,Reaktor Nizhnekamsk MHL
135,Egor Smirnov,D,Dynamo Moskva MHL
136,Sergei Safin-Tregubov,D,Tolpar Ufa MHL
137,Axel Rindell,D,Jukurit Liiga
138,Adam Wilsby,D,Sodertalje Allsvenskan
139,Leo Loof,D,Farjestad J20
140,Lucas Ramberg,D,Lulea SHL
141,Oskar Magnusson,C,Malmo J20
142,Ethan Cardwell,C,Barrie OHL
143,Jack Thompson,D,Sudbury OHL
144,Lleyton Moore,D,Oshawa OHL
145,Simon Kubicek,D,Seattle WHL
146,Luke Prokop,D,Calgary WHL
147,Dylan Garand,G,Kamloops WHL
148,Patrick Guay,LW,Sherbrooke QMJHL
149,Brady Burns,C,Saint John QMJHL
150,Joe Miller,RW,Blake U.S. High School
151,Grant Slukynsky,F,Warroad U.S. High School
152,Jack Smith,C,St. Cloud Cathedral U.S. High School
153,Aidan Campbell,G,Erie OHL
154,Hayden Fowler,RW,Erie OHL
155,Donovan Sebrango,D,Kitchener OHL
156,Alex Laferriere,RW,Des Moines USHL
157,Ryder Rolston,RW,Waterloo USHL
158,Ben Schoen,C,Youngstown USHL
159,Alex Gaffney,C,Muskegon USHL
160,Chase Yoder,LW,NTDP U18
161,Noah Ellis,D,Des Moines USHL
162,Parker Ford,C,Providence College NCAA
163,Zach Uens,D,Merrimack College NCAA
164,Mike Vorlicky,D,Wisconsin NCAA
165,Billy Constantinou,D,Sault Ste. Marie OHL
166,Marek Blaha,D,Sparta Praha U19
167,Matej Kaslik,C,Malmo J20
168,Elliot Ekmark,C,Linkoping J20
169,Victor Mancini,D,Frolunda J20
170,Axel Kumlin,D,Frolunda J20
171,Hugo Styf,D,MODO J20
172,Mikael Pyyhtia,C,TPS U20
173,Kristian Tanus,C,Jukurit Liiga
174,Joonas Oden,LW,KooKoo Liiga
175,Ivan Didkovsky,LW,Dynamo Moskva MHL
176,Dmitri Sheshin,RW,Magnitogorsk MHL
177,Yegor Chinakhov,RW,Omskie Yastreby MHL
178,Pavel Gogolev,LW,Guelph OHL
179,Ilya Solovyov,D,Saginaw OHL
180,Xavier Simoneau,LW,Drummondville QMJHL
181,Josh Lawrence,C,Saint John QMJHL
182,Simon Knak,RW,Portland WHL
183,Michal Gut,C,Everett WHL
184,Lukas Svejkovsky,C,Medicine Hat WHL
185,Cole Shepard,LW,Vancouver WHL
186,Kyle Crnkovic,LW,Saskatoon WHL
187,Logan Morrison,C,Hamilton OHL
188,Ville Ottavainen,D,Kitchener OHL
189,Valentin Demchenko,RW,Baie-Comeau QMJHL
190,Raivis Ansons,LW,Baie-Comeau QMJHL
191,Miguel Tourigny,D,Blainville-Boisbriand QMJHL
192,Ethan Edwards,D,Spruce Grove AJHL
193,Landon Kosior,D,Prince Albert WHL
194,Daniel Baker,D,Medicine Hat WHL
195,Jake Ratzlaff,D,Rosemount U.S. High School
196,Jake Boltmann,D,Edina U.S. High School
197,Artem Shlaine,C,Shattuck St. Mary's U.S. High School
198,Hank Kempf,D,Muskegon USHL
199,Jakub Dobes,G,Omaha USHL
200,Vojtech Strondala,C,Stadion Litomerice Czech2
201,Artyom Galimov,C,Ak Bars Kazan KHL
202,Alexei Tsyplakov,LW,St. Petersburg MHL
203,Maxim Musorov,F,Snezhnye Barsy Astana MHL
204,Dmitriy Zlodeev,C,Dynamo Moskva MHL
205,Danil Aimurzin,F,Tolpar Ufa MHL
206,Maxim Beryozkin,LW,Loko Yaroslavl MHL
207,Anton Kosolapov,RW,Dynamo Moskva MHL
208,Nikita Yefremov,D,Sibirskie Snaipery Novosibirsk MHL
209,Pavel Yelizarov,D,Tolpar Ufa MHL
210,Artur Akhtyamov,G,Irbis Kazan MHL
211,Vsevolod Skotnikov,G,Krasnaya Armiya Moskva MHL
212,Pontus Johansson,D,DjurgaDens J20
213,Isak Garfve,C,Mora J20
214,Tomas Chlubna,RW,Dukla Jihlava Czech2
215,Jakub Kolenic,RW,Zvolen
216,Gage Goncalves,C,Everett WHL
217,Luke Toporowski,LW,Spokane WHL
218,Victor Ostman,G,Chicago USHL
219,Wyatt Schingoethe,C,Waterloo USHL
220,Oliver Tarnstrom,C,AIK J20
221,Samuel Johannesson,D,Rogle SHL
222,Matias Rajaniemi,D,Pelicans Liiga
223,Karel Klikorka,D,Mlada Boleslav
224,Michael Krutil,D,Sparta Praha U20
225,Florian Elias,LW,Mannheim U20
226,Maximilian Glotzl,D,Kolner Haie DEL
227,Vladimir Mashkov,RW,Omskie Yastreby MHL
228,Maxim Nevolin,RW,Almaz Cherepovets MHL
229,Oliver Okuliar,LW,Lethbridge WHL
230,Danila Palivko,D,Lethbridge WHL
231,Brock GouD,G,Moose Jaw WHL
232,Devon Levi,G,Carleton Place CCHL
233,Josh Pillar,C,Kamloops WHL
234,Ben King,C,Red Deer WHL
235,Robbie Fromm-Delorme,RW,Portland WHL
236,Owen Pederson,LW,Winnipeg WHL
237,Ethan Bowen,C,Chilliwack BCHL
238,Ryan Helliwell,D,Langley BCHL
